date,repository,pr,change_area,risk_tier,builder_agent,reviewer_agent,automated_checks,preview_verified,human_minutes,merged,accepted,corrective_pr_within_48h,failure_category,notes
2026-07-27,arcayne/Knowledge-Bits,#31,local_runtime,Orange,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,inferred_yes,Environment,open_to_merge_seconds=73;follow_up=#32 startup hardening;relationship inferred from PR descriptions
2026-07-27,arcayne/Knowledge-Bits,#32,local_runtime,Orange,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,inferred_yes,Environment,open_to_merge_seconds=52;follow_up=#33 Node 24 runtime pin;relationship inferred from PR descriptions
2026-07-27,arcayne/Knowledge-Bits,#33,local_runtime,Orange,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,no_observed_in_sample,Environment,open_to_merge_seconds=53;builder reported local shell and contract checks only
2026-07-27,arcayne/Knowledge-Bits,#34,intake_and_similarity,Orange,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,inferred_yes,Architecture,open_to_merge_seconds=44;follow_up=#35 API base-path repair;relationship inferred from shared branch and PR descriptions
2026-07-27,arcayne/Knowledge-Bits,#35,review_routing,Yellow,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,inferred_yes,Architecture,open_to_merge_seconds=39;follow_up=#49 repeated base-path class for artifact proxy;relationship inferred not incident-confirmed
2026-07-28,arcayne/Knowledge-Bits,#36,shorts_prompt_and_rendering,Yellow,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,inferred_yes,Specification,open_to_merge_seconds=205;follow_up=#37 object-first tension direction;relationship inferred from PR descriptions
2026-07-28,arcayne/Knowledge-Bits,#37,shorts_prompt_and_rendering,Yellow,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,no_observed_in_sample,Specification,open_to_merge_seconds=8;builder reported 25 focused tests only
2026-07-28,arcayne/Knowledge-Bits,#38,infographic_pipeline,Orange,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,inferred_yes,Model,open_to_merge_seconds=94;follow_up=#39 production-length copy fit;relationship inferred from PR descriptions
2026-07-28,arcayne/Knowledge-Bits,#39,infographic_pipeline,Yellow,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,no_observed_in_sample,Review,open_to_merge_seconds=19;builder reported one visual inspection without independent record
2026-07-28,arcayne/Knowledge-Bits,#40,artifact_regeneration,Orange,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,inferred_yes,Review,open_to_merge_seconds=75;follow_up=#41 after eight layout failures in catalogue preflight;relationship inferred from PR descriptions
2026-07-28,arcayne/Knowledge-Bits,#41,infographic_pipeline,Yellow,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,no_observed_in_sample,Review,open_to_merge_seconds=87;builder reported live read-only preflight 40 of 40
2026-07-28,arcayne/Knowledge-Bits,#42,artifact_regeneration,Red,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,inferred_yes,Architecture,open_to_merge_seconds=55;follow_up=#43 recipe-scope repair;relationship inferred from campaign sequence
2026-07-28,arcayne/Knowledge-Bits,#43,artifact_regeneration,Orange,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,inferred_yes,Architecture,open_to_merge_seconds=11;follow_up=#44 outer verifier completion;relationship explicit in PR #44
2026-07-28,arcayne/Knowledge-Bits,#44,artifact_regeneration,Orange,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,no_observed_in_sample,Architecture,open_to_merge_seconds=13;builder reported focused worker checks only
2026-07-28,arcayne/Knowledge-Bits,#45,infographic_pipeline,Yellow,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,inferred_yes,Review,open_to_merge_seconds=16;follow_up=#46 further safe-area tightening and layout variation;relationship inferred from PR descriptions
2026-07-28,arcayne/Knowledge-Bits,#46,infographic_pipeline,Yellow,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,no_observed_in_sample,Specification,open_to_merge_seconds=26;builder reported visual inspection without independent record
2026-07-28,arcayne/Knowledge-Bits,#47,review_auth,Orange,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,no_observed_in_sample,Environment,open_to_merge_seconds=88;runtime OIDC configuration fix;no independent preview record
2026-07-28,arcayne/Knowledge-Bits,#48,review_dashboard,Yellow,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,no_observed_in_sample,Specification,open_to_merge_seconds=91;Madrid calendar and display behavior;no independent preview record
2026-07-28,arcayne/Knowledge-Bits,#49,review_artifacts,Orange,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,no_observed_in_sample,Architecture,open_to_merge_seconds=58;PR says live broken artifact route reproduced but no independent record
2026-07-29,arcayne/Knowledge-Bits,#50,delivery_contract,Red,unrecorded_codex_branch,none_recorded,vercel_status_only_no_actions,unknown,unknown,true,unknown,no_observed_in_sample,Architecture,open_to_merge_seconds=38;delivery endpoint changed from import to deliver;no independent Nuglet acceptance record
